text,Joy,Hate,Love,Sorrow,Anxiety,Surprise,Anger,Expect
这不能不说是世界经济历史上的奇迹，当然，中国仍然面临一个最大的难题，那就是普通民众如何分享这样的经济成功。,1,0,1,0,1,0,0,0
我愿做一颗流星，消逝在天空，虽然再现的只是几秒钟的时间，但如果有你的欣赏、许愿，便也足够。,1,0,0,0,0,0,0,1
因此他愤怒在心里，看到儿媳就大不如前。,0,0,0,0,0,0,1,0
时评正在成为一种脑残文体,0,0,0,1,1,0,0,0
丘比特的爱神之箭为何总在射出时，调皮的在空间打转后就落向别人，而拾起这些箭的人总是生命中短暂停留的过客，爱神之箭的魔力消失后，他们就该谢幕退场，成为回忆。,0,0,0,1,1,0,0,0
“庞然大物”，这个词用在这是多么地妥帖，多么地准确。,0,0,1,0,0,0,0,0
因为，自从接触网络，我的生物钟完全被打乱了，像一只夜猫子，昼伏夜出，白天打盹，夜里贼精神！,0,0,0,1,0,0,0,0
毕业，就像一个大大的句号，从此，我们告别了一段纯真的青春，一段年少轻狂的岁月，一个充满幻想的时代……,0,0,0,1,0,0,0,0
”说这些话的时候，我看到小文的眼睛湿润了。,0,0,0,1,0,0,0,0
我目送她远去时，看着她蹒跚前进的背影，有些怅然若失。,0,0,0,1,0,0,0,0
于是团长和导游去求情。,0,0,0,0,0,0,0,1
我知道那天的黑暗会改变奔儿奔儿的一生。,0,0,0,1,0,0,0,0
都是给我的幸福。,1,0,0,0,0,0,0,0
因为别的子女不孝顺她，她就一直跟着我妈住。,0,0,0,1,1,0,0,0
当我再次走出来，一切又会重新开始。,0,0,0,0,0,0,0,1
最后送上一句话，世界上并不缺少美丽，而是缺少发现！,0,0,1,0,1,0,0,1
犹豫之时，路旁闪出一家ＫＦＣ，明亮的灯箱，激昂的音乐，让我仿佛嗅到了温暖。,1,0,1,0,0,0,0,0
改革开放后，圣诞节随西方资金一同涌进中国，很快生根发芽，让中国人，尤其商人不得不重视这个节日，摆几棵圣诞树，挂一溜彩灯，树底下放些空空如也的礼品包，装装样子……,0,1,0,0,0,0,0,0
一丝温暖，在这个无雪的冬天，弥漫那是我的心，不曾走远，它只是划了一个美丽的弧线，一片冰冷在迅速蔓延，雪落无声，泪流有痕。,0,0,1,1,0,0,0,0
今天是圣诞夜，更叫人觉得如此。,0,0,1,0,0,0,0,0
那条长长的木屐，踏着十几只脚，左右左右的节奏是我听过最美妙的歌声。,0,0,1,0,0,0,0,0
坚挺的楼市，疲软的股市,0,0,0,0,1,0,0,0
我一向崇拜军人，因为他们作风严谨，人格上也让人敬仰。,0,0,1,0,0,0,0,0
这一天对于我们绝大多数人来说是极其寻常的一天，可是对于刚刚获得金牌的刘子歌、杜丽和杨威来说是具有历史性的意义，都实现了人生的最大突破。,1,0,1,0,0,0,0,0
真的是无法想象。,0,0,0,0,1,0,0,0
第一位穆罕默德（伊斯兰教创立人）；第二位牛顿（就是那位被苹果砸了鼻子的科学家）；第三位耶稣（基督教奠基人）；第四位释迦牟尼（佛教创始人）；第五位孔夫子（我们的孔老二）；第六位保罗（基督教思想家）；第七位蔡伦（造纸术发明人）；第八位戈登保（印刷术发明人）；第九位哥伦布（发现新大陆）；第十位爱因斯坦；,0,0,1,0,0,0,0,0
兮然觉得在一个地方如果你的生活是快乐的，你的回忆是饱满的，那么这个地方就是美的！,1,0,1,0,0,0,0,0
媒体猜测她自责没能足够快地把孩子们带到安全位置。,0,0,0,1,0,0,0,0
其实，这么多年过的最快乐的还是高三的那段时光，确实很苦但也真的很快乐，原以为高考完后会非常非常的快乐和自由，得确是自由了，但是并不快乐，取代高三时那些劳累的是大把大把的寂寞，和未曾有过的苦闷。,1,0,0,1,1,0,0,0
那一声哥哥，就是她的世界了吧。,0,0,1,0,0,0,0,0
提起家乡的苹果，我就想到了阿里巴巴的宝藏，那样滚滚而来、取之不尽、年年有余、岁岁丰收！,1,0,1,0,0,0,0,0
可“小沈阳”的火能让我们说明什么呢？,0,0,0,0,1,0,0,0
朋友约去北海道，正巧是寒冬时分，正中我意，于是办手续，挤出时间一同前往。,1,0,0,0,0,0,0,0
从２０００年高中毕业到现在九年了，同学聚会，虽然人不多，但是依然温馨。,1,0,1,0,0,0,0,0
还会谁在乎我的感受？,0,0,0,1,0,0,0,0
新年，在一片杯盘狼藉中渐渐走远。,0,0,0,1,0,0,0,0
放假的日子有些百无聊赖。,0,1,0,0,0,0,0,0
也许人们沉浸于相对平衡的温饱和富足中，单纯的暴露在阳光里。,0,0,1,0,0,0,0,0
当今她要兑现自己的承诺时，怎么也拨不通他的电话了。,0,0,0,0,1,0,0,0
换个思路，海阔天空。,0,0,0,0,0,0,0,1
现在很多服务行业都会把“顾客是上帝”这句话作为满足客人流氓行为的借口。,0,1,0,0,0,0,0,0
让我是哭笑不得。,0,0,0,0,1,0,0,0
也不要拿中法人民之间长久而深厚的友情积淀，做政治赌博。,0,0,0,0,0,0,0,1
在梦中出现过几百次的情节，如今就展现在眼前。,1,0,1,0,0,0,0,0
等合同签订大获丰收时在做什么就不是你能左右得了。,0,1,0,0,0,0,1,0
总是对自己说，失去的东西我一定要拿回来，一直为那些东西在努力着，所以这个冬季总是很匆忙，总是听到呼啸而过的声音，像一阵疾风，那是我在游走。,0,0,0,1,1,0,0,0
”看到短信时，觉得温暖，又给他回复了一条信息，并预祝他次日在杭州某书城的签售活动获得成功。,1,0,0,0,0,0,0,1
在１年后我国设立的首个“文化遗产日”中，有关部门在公开的“提法”中，已将保护文化遗产上升到“维护文化主权和独立，保护国家安全”的高度。,1,0,1,0,0,0,0,0
对于文笔不如你的，勿讽刺和挖苦。,0,0,0,0,0,0,0,1
能代表新的时代，代表新一代中国成长中的年轻人，用我的琴声发出对世纪的梦想。,1,0,1,0,0,0,0,0
想看烟花吗？,0,0,0,0,0,0,0,1
日前发生的一些事件，还可以看到政府在处置过程中存在着这样那样的缺陷和不足之处。,0,1,0,0,1,0,1,0
有家人的爱，有朋友的陪伴，有很多爱我的人……,1,0,0,0,0,0,0,0
那么凉。,0,0,0,0,0,1,0,0
于是，我看到了一张质朴的脸，被六月的阳光晒得黝黑的脸，洋溢着收获喜悦的脸。,0,0,1,0,0,0,0,0
我将自己放逐在长江的这岸，守着那一浪一浪的思念。,0,0,0,1,0,0,0,0
因为偶尔一个暧昧的话语，便会让爱的一方陷入遐想中，而被爱的一方又心有温存，得到感情的慰藉。,0,1,0,1,0,0,0,0
回忆～是幸福的。,0,0,1,0,0,0,0,0
如此之多的奶业王者深陷此灾，已是潜规则自不待言。,0,1,0,0,0,0,0,0
它一开始指的是模仿品牌手机等电子产品的产品，它们以其外形和功能的类似和价格低廉而大行其道，“山寨”产品并不是盗版和抄袭，而是反而在模仿和照搬中刻意地凸显它和它所模仿的对象的差异性。,1,0,1,0,0,0,0,0
还记得那一夜的寂寞和失落，是我从没有过的，真的担心自己会走不出去，还好有兄弟，还好有青，就像天使，在我最艰难的日子里无私的分担了我的痛。,1,0,0,1,0,0,0,0
在这里我祝他们永远幸福，快乐！,1,0,1,0,0,0,0,1
