dev_id,train_nn_rank,train_id,cosine_sim,dev_text,train_text,train_labels,dev_paraphrase,train_paraphrase
2018-Es-06697,1,2018-Es-04155,0.9997221231460571,No me pienso perder la pelea de McGregor contra Myweather,Me muero por ver la pelea de McGregor y Mayweather ...💪,anticipation,,
2018-Es-05385,1,2018-Es-00477,0.9997580647468567,Yo preocupada pensando que mi papá ya había llegado y me estaba llamando para decirme que el vuelo todavía no había salido 👍,Le dije a mi papá que me trajera cena y me dijo que si.... Llegó con sopa Maruchan ,pessimism,,
2018-Es-03777,1,2018-Es-00739,0.9996603727340698,Pucha ya no me sirven todos los carros a Rondizzoni.... #ironía jajajjajaja #unañomas,"@Patriciomonero Jajajaja, te faltó poner o todos son iguales... porque es difícil decidir, yo digo q está entre #peña y #Fox","anticipation,joy",,
2018-Es-02175,1,2018-Es-01823,0.9997448921203613,"Si estar contigo es un delito, hago cien años en prision 😃",Sé que no es una ofensa pero me la voy a tomar como tal. @suicidiofeliz,anger,,
2018-Es-00726,1,2018-Es-03380,0.9997943639755249,@macacifuentesC @sergmujica Perfect... Y de una mansa ni que terrible PLR,@radicalyfeliz @evoespueblo Y para insultar da la cara y nombre cobarde,"anger,disgust",,
2018-Es-01137,1,2018-Es-06142,0.9998382329940796,mera dale estoy aburrido,ewe estoy aburrido qui hago,"pessimism,sadness",,
2018-Es-04129,1,2018-Es-04688,0.9995420575141907,"El sol , los perros y una birra ! #felicidad",Hoy descubrí que hay una torta de kibi. Malditos fuereños. #sarcasmo,"anger,disgust",,
2018-Es-04463,1,2018-Es-02628,0.9995518326759338,"Tantos cambios y la vida no te pregunta si los quieres, casi siempre los impone y las dos opciones que quedan es aceptar o seguir llorando.","Mi mayor problema es que no puedo estar enfadado. Siempre termino perdonando a las personas, incluso cuando no lo merecen.😚","anger,joy,optimism",,
2018-Es-04699,1,2018-Es-03099,0.9996959567070007,En estos momentos siento mi cuerpo hirviendo.,"Tengo el nazo hirviendo, y las manos congeladas",anger,,
2018-Es-01259,1,2018-Es-01331,0.9995895028114319,Buenas noches a toda la pipuuuuul. Que tengan una excelente semana ,A disfrutar este fin de semana porque el lunes se me acaba la dicha.😶,"joy,sadness",,
2018-Es-04284,1,2018-Es-02350,0.9997227191925049,"@LuisPB4 Yo salí en la camioneta, desayuné McDonald's, almorcé China Wok y también se m olvidó ponerlo en las redes #sarcasmo ","@ferro_facu tuvo que poner la alarma en su celular para hacerme acordar que nos tenemos que juntar mañana,friendship colgados goals",optimism,,
2018-Es-05718,1,2018-Es-00386,0.9996612071990967,Será tu forma de bailar reggae lento o la manera que meneas todo tu cuerpo me pones inquieto uooooooh 😱,"@its_fedra La neta yo me veo igual de feo llorando sea la situacion que sea, así que por eso siempre pregunto JAJAJJAA PERDÓN","joy,pessimism",,
2018-Es-01454,1,2018-Es-00683,0.9997895956039429,Que estén mis sobrinos en casa me genera mucho mal humor cuando estoy desde las 6 despierta y no dormí siesta. 😡,Hace 2 noches me siento una abuela por dormirme a las 11 pero el cansancio que tengo es inexplicable.,"pessimism,sadness",,
2018-Es-02040,1,2018-Es-00233,0.9997472763061523,"frank se enojo por una boludes y quiere que le pida perdón en la cara, ya, ya estoy yendo a hacer dedo, no, mejor voy corriendo esperame",Subió un chico lindo al bondi y no pare de mirarlo hasta que se acercó más y baje la mirada. Así de cagona soy. Me defraude a mi misma,"anger,fear,pessimism,sadness",,
2018-Es-02237,1,2018-Es-00386,0.9996611475944519,@lutteofthoran LA MEJOR DE TODAS!!❤❤❤Feliz dia Andrea!!!Gracias por todooo,"@its_fedra La neta yo me veo igual de feo llorando sea la situacion que sea, así que por eso siempre pregunto JAJAJJAA PERDÓN","joy,pessimism",,
2018-Es-06767,1,2018-Es-05882,0.9996426701545715,Tremenda ganas de ponerme las pilas 🙃,Me pone de mal humor hacer maletas 😤,anger,,
2018-Es-06469,1,2018-Es-03314,0.9995092749595642,"Aún existe gente que ""amenaza"" con dar unfollow 😂","La parte en la que Clegane le dice ""No engañas a nadie con ese rodete. Calvo de mierda"" 😂😂😂😂 yo estaba llorando","joy,sadness",,
2018-Es-00590,1,2018-Es-02113,0.9994819164276123,"Más bellaquera, menos timidez","Ya esta conmigo el vestido, una preocupación menos","joy,optimism,trust",,
2018-Es-01679,1,2018-Es-01880,0.9996853470802307,Les trancamos toda la redoma de Petare y les prendimos la mecha durísimo hasta esta hora.. Petare se arrechó y perdió el miedo!!,"Muero de la risa escuchando a Esdras como le tira a Mel,  en lo que quedaron, es terrible los políticos en este país.","anger,disgust,joy",,
2018-Es-05485,1,2018-Es-04692,0.9997684359550476,"Ojalá se pudiera elegir a la familia de uno, lamentablemente te tenés q aguantar q gente hipócrita sea de tu sangre",Detesto que la gente que esta deprimida llegue a ponerlo a uno igual o peor.,"anger,disgust",,
2018-Es-06617,1,2018-Es-01014,0.9991570115089417,"No hay cristiano maduro, plantado en la Palabra, que tenga una excusa razonable para vivir su vida ofendido. - Pastor Brian Huston",La mejor venganza es ser diferente a quien causó el daño.-Marco Aurelio.,"disgust,optimism",,
2018-Es-01576,1,2018-Es-04632,0.9997773170471191,@LechugaEdson01 De ti no lo acepto sigo indignada,@Valyfreesh Casi te digo algo ordinario ,none,,
2018-Es-03432,1,2018-Es-02568,0.9997074604034424,La depresión es cabrona 😥,Y todo fue mentira 😥,sadness,,
2018-Es-06139,1,2018-Es-02848,0.9996893405914307,@Clauarquera Yo se de uno que no ira finalmente :/,"@IvanSalum2 Yo también,  pero sigo un poco enojada",anger,,
2018-Es-05268,1,2018-Es-04915,0.9993935823440552,"Va a tener que pedir perdón por celebrar el día de Catalunya e ir con su bandera, porque eso es ser anti español. Claro que sí. #Ironía","En España, se vive bien..!!. No nos podemos quejar. #leyMordaza #ironía","anger,joy,optimism",,
2018-Es-02391,1,2018-Es-03841,0.999714195728302,@JuniorAlvia Desgraciado infeliz jajaj,@Juan33Martinez Te fuiste al carajo ,anger,,
2018-Es-01460,1,2018-Es-05728,0.9998510479927063,Terrible ganas de que me vaya  todo bien,Sabiendo esto me siento un poco basura igual fue ,pessimism,,
2018-Es-04519,1,2018-Es-04010,0.9996790289878845,En qué momento me hice así ajjjajjajajaa ,Estoy tan ansiosa que mis uñas desaparecieron jaaaaj,"anticipation,fear,optimism",,
2018-Es-06812,1,2018-Es-01221,0.9994873404502869,"Cámara, una help, espero todo se salve si no me va a a matar ",Que tu primer dia no sea en el cumbres esta muy triste.,sadness,,
2018-Es-02128,1,2018-Es-02941,0.999755322933197,@debittoinjapan Me pone nervioso que tenga el pecho tan grande 😂,"@micatorres213 Jajaja yo te amo a vos, te voy a dar fernet más seguido 😂","joy,love",,
2018-Es-05671,1,2018-Es-00065,0.9996500611305237,"harry está emocionado por la gira mundial, y yo estoy deprimida de vuelta porque no tengo entrada.","Me voy de viaje el domingo y no estoy emocionada, bueno solamente por toda la comida que comeré 🤤",anticipation,,
2018-Es-00468,1,2018-Es-00263,0.9996776580810547,@Zita_Zaa Fue suave y corto. No alcanzó ni a prometer ,@Auriazul1D Ejercicio y un poco de diversión 🤔,"joy,optimism",,
2018-Es-03607,1,2018-Es-03550,0.9996340870857239,"#ElInformante Díganle a ME-O que los Haker Hunter no mataron a Allende, se suicido el cobarde para no responderle al país por se ineptitud.",#BetoASaber. Animarles Guzmán  tirarse abajo economía política  crear caos con su terrorismo y dar pasó a la privatización. del Perú,"anger,disgust",,
