id,lang,text,entropy_H,gold,pred,probs,error_type
2018-En-04245,en,@who_cares_nvm The destroying of my memory is my goal so ECT might work. Or a zapper thingy like in Men in Black. Or Dumbledore's pensive.,0.35313212871551514,"anger,disgust","anticipation,optimism","anger:0.114,anticipation:0.499,disgust:0.269,fear:0.019,joy:0.047,love:0.001,optimism:0.487,pessimism:0.166,sadness:0.242,surprise:0.021,trust:0.038",
2018-En-01537,en,You take a sharp right and stumble on a slavering phoenix whose see-through negligée and empty eye sockets will haunt your dreams forever.,0.34765997529029846,fear,anticipation,"anger:0.117,anticipation:0.207,disgust:0.288,fear:0.164,joy:0.019,love:0.003,optimism:0.200,pessimism:0.231,sadness:0.262,surprise:0.020,trust:0.015",
2018-En-00581,en,i excepted the eclipse to make me believe in an omniscience force #dissapointed,0.3400486707687378,sadness,"anticipation,optimism,pessimism","anger:0.005,anticipation:0.498,disgust:0.036,fear:0.116,joy:0.134,love:0.004,optimism:0.774,pessimism:0.302,sadness:0.159,surprise:0.082,trust:0.055",
2018-En-03097,en,"Shooting more than ever, making more mistakes than ever but I jumped in the pool of sharks a long time ago.  #relentless *#resilient",0.3371427357196808,"anticipation,optimism","fear,pessimism","anger:0.061,anticipation:0.109,disgust:0.137,fear:0.602,joy:0.069,love:0.001,optimism:0.128,pessimism:0.290,sadness:0.402,surprise:0.022,trust:0.008",
2018-En-03033,en,#wtf what a #wonderful idea \nyou've all bought your tweets and likes that's pretty pointless for Me #bye #bye #Twat,0.33654674887657166,"anger,disgust","joy,sadness","anger:0.041,anticipation:0.059,disgust:0.242,fear:0.016,joy:0.961,love:0.401,optimism:0.215,pessimism:0.048,sadness:0.720,surprise:0.153,trust:0.020",
2018-En-04173,en,Time for a #burst #burstcoin fork??,0.3328430950641632,"joy,optimism","anticipation,disgust,sadness","anger:0.136,anticipation:0.334,disgust:0.375,fear:0.203,joy:0.010,love:0.001,optimism:0.010,pessimism:0.178,sadness:0.640,surprise:0.051,trust:0.003",
2018-En-04160,en,@meppenbrock @nypost Non-story.\nDaughter tripped home alarm. Cop responded.,0.33215922117233276,"optimism,trust","anger,disgust,surprise","anger:0.358,anticipation:0.100,disgust:0.526,fear:0.220,joy:0.036,love:0.002,optimism:0.006,pessimism:0.026,sadness:0.265,surprise:0.227,trust:0.003",
2018-En-02922,en,"@devlinjim @SophieLong01 What about Daniel 7:9? - his throne was like the fiery flame, and his wheels as burning fire.",0.32054030895233154,,anger,"anger:0.440,anticipation:0.082,disgust:0.277,fear:0.243,joy:0.002,love:0.001,optimism:0.005,pessimism:0.223,sadness:0.354,surprise:0.033,trust:0.005",
2018-En-00292,en,"I live 30 miles away from work, &amp; arrived to realise laptop is still on the bed. ",0.3171132206916809,"anger,joy","fear,pessimism,sadness,surprise","anger:0.080,anticipation:0.077,disgust:0.224,fear:0.850,joy:0.030,love:0.007,optimism:0.003,pessimism:0.266,sadness:0.778,surprise:0.349,trust:0.005",
2018-En-01190,en,if you wake up somewhere else...you will know some #arsehole has pressed a button ;),0.31647270917892456,"anger,disgust",anticipation,"anger:0.170,anticipation:0.309,disgust:0.258,fear:0.483,joy:0.027,love:0.001,optimism:0.023,pessimism:0.074,sadness:0.068,surprise:0.118,trust:0.004",
2018-En-03024,en,"@AChubbyPanda *He would growl softly and licks his lips.* 'if I need to prove myself, I think we might need to go somewhere private.'",0.31288933753967285,love,"anger,disgust","anger:0.414,anticipation:0.070,disgust:0.489,fear:0.010,joy:0.155,love:0.002,optimism:0.047,pessimism:0.122,sadness:0.423,surprise:0.009,trust:0.004",
