dev_id,train_nn_rank,train_id,cosine_sim,dev_text,train_text,train_labels,dev_paraphrase,train_paraphrase
2018-Ar-00289,1,2018-Ar-01965,0.9997153282165527,باقي ١٠ دقايق واخلص حلقة سكول الثانيه بس النت مستلعن 😀,@FCBinsider انا خلصت الماجستير ٢٠١٠ و اتخرجت من الثانويه عام ٢٠٠٠ و الله كابوس الفيزياء الصبح بكره مازال يجيني اصحى و الدمعه على خدي 😂,"fear,sadness",,
2018-Ar-02519,1,2018-Ar-02810,0.999735951423645,معاناة لما يكون دايماً إحساسك بمحله .....,الطرق المؤديه لغيرك مظلمه وأنا أخاف الظلام,fear,,
2018-Ar-01952,1,2018-Ar-02823,0.9997794032096863,لو فيه جائزه اكثر موسوسه تخاف من الامراض فزت بهاا انننااا 😃,كان نفسي اتفرج على كفر دلهاب ده بس للاسف انا جبانة وبنام في النور اصلا,fear,,
2018-Ar-02912,1,2018-Ar-00613,0.9990860223770142,ما يستفز راحة البال إلا الذكريات ☹️ 💔,#ربي لا تجعلني #اعتب 😊 على من لا #يخشى #حزني 😞 ✋,"optimism,sadness",,
2018-Ar-02756,1,2018-Ar-03530,0.9997291564941406,القلب ياوقت والنفس ماهي مرتاحه ونبض القلب ماهو مرتاح من تالي الوقت #مستر_طلال_للأضافات,الصراحة ضاق خلقي من الفعاليات حقت العيال فالعيد فجايه انفس عن غضبي بس مدري وش اقول تففوه عليكم ياعيال باي  #سعوديات_نطلب_اسقاط_الولايه349,"anger,disgust,pessimism",,
2018-Ar-03623,1,2018-Ar-02206,0.9988740682601929,رمضان في نيويورك 😟 الإمساك 3:54ص الإفطار 8:21م ساعات الصيام = 16س و27دقيقه 😭 😭 - يشعر بالانزعاج,النور قاطع... 😒 ماعندكمش حاجه تانيه تحرقو بيها دمنا اول يوم سحور.؟! 😒 - يشعر بـنفاذ صبرها,"anger,disgust",,
2018-Ar-03190,1,2018-Ar-01273,0.999558687210083,` بين الضلوع استقر حبك و هام يا ضحكة سنيني و نعيم الأيام 💭 💖 #قروب_غيم_للدعم,@MMilka86 في منامي نحلم وانا نوم 💤 في قصور البهجة وشموع ضاوية .\nهيه هذيك هيا نشوف فيك تضيعي في وقتك و وقتي 😊,"joy,love,optimism",,
2018-Ar-03685,1,2018-Ar-02788,0.9997743964195251,@69Reema69 ي خوفي اتورط معاك ترا حقين مشاكل,@YaraSaeid74 الكآبة دي اجباري مش اختياري بلص ان مفيش حاجة تفرح والله🤦,"pessimism,sadness",,
2018-Ar-02995,1,2018-Ar-01388,0.9989325404167175,اشمئزاز مو صاحي!,مبحبش التهديد حتى لو ف مصلحتى 😠,anger,,
2018-Ar-01800,1,2018-Ar-02739,0.999778687953949,الله يسامح الي مقومني من الساعه 1 عشان اودعه💔😥,يضحكني الشخص اللي إذا زعل يختفي على أساس عقاب لي خف علينا ياالشبكه 😂,"disgust,joy",,
2018-Ar-01761,1,2018-Ar-02679,0.999516487121582,عندي امتحان توا .. واجباري مش حانقدر نغش 😣😣\nعشان نفطرش \nليييييش هكي,عايزنا نرجع زي زمان ..طب وقت تاني عشان زهقانه \n#ريح_المدام \n#بهجت_و_سلطان,"joy,pessimism,trust",,
2018-Ar-03783,1,2018-Ar-03980,0.9997860193252563,اللهم سعادة البال وارتياح الضمير,اللهم الفرح والإبتسامة الأبديه,"joy,optimism",,
2018-Ar-02601,1,2018-Ar-00036,0.9997721314430237,"مزاجي عصبي متهور احب المغامرات واحب بنفس الوقت "" الوحدة "" #كل_مغرد_يوصف_نفسه",#اسامه_فقيه_بالمعزب السعادة ليست حلما ولا وهما بل هي تفاؤل وحسن ظن بالله وصبر بغير استعجال,"optimism,trust",,
2018-Ar-03680,1,2018-Ar-01067,0.9997565150260925,بالتفكير بالامر هذي أول اجازه من سنه استانس فيها بما انو العام كانت كلها قلق عشان قبول الجامعه,والله الواحد خايف بطريقة محصلتش قبل كدا والله مرعوب جداً مش عارف ليه و مستقبلي كلو تقريباً متوقف على امتحان بكرة والله سواء حليت حلو او وحش,fear,,
2018-Ar-04098,1,2018-Ar-03513,0.999651312828064,@thansulii ماشاءالله متألقه وين ماكنتي ، وين القاه ؟ وابي توقيعك فيك😻❤️!,23_ بحب ضحكتك جدا والله وانتي عسل ودمك خفيف جدا مبسوط اني عرفتك وبعزك جدا والله يعني وبرضه محدش هيكتبلك رسايل علي صراحه دادادا 😂 ❤️❤️❤️❤️,"joy,love,trust",,
2018-Ar-02776,1,2018-Ar-01963,0.9997132420539856,#اسعد_غيرك1\nانت مو بس اسعدت العماله ترا اسعدتنا معااهم والله,#احتفالات_عيد_الرياض\nزينوا الشوارع بس ترا ملينا من الزحمه خلوا عني الاحتفالات والحركات اللي مالها سنع ومو لايقه عليكم😤😖,"anger,disgust",,
2018-Ar-04033,1,2018-Ar-02818,0.9993670582771301,ليش هاديَة؟.\n-يكفِي الإزعاج اللي جواتِي.,عن ثُقل الإشتياق؟.\nوش أحكي يارب.,"love,sadness",,
2018-Ar-00609,1,2018-Ar-04370,0.9997280836105347,ماعاد ف صدري ليك مكان\nياحسرة على ايام زمان,من كثر ماني بمتعوّد على الفرقا\nصرت اتوادع مع ايّة واحد اشوفه,"anger,pessimism,sadness",,
2018-Ar-02630,1,2018-Ar-00263,0.9997127652168274,هل أنت مستيقظه صباح الخير لك أنا أيضا وجدت من يتمنى لي صباحا سعيدا,مساء الخير أنا حزين و أريد الرحيل لم أعد في المزاج المناسب للممارسة الحياة و شكرا,"pessimism,sadness",,
2018-Ar-03347,1,2018-Ar-02761,0.9996053576469421,ربنا ينتقم منك يابدرى لانك مش مقدر نعمة الاهلى 😥,- واكفينا يا رب شر الكآبة اللي بتنزل فجأة على الروح ومتبقاش عارفلها سبب ولا علاج 😔 💔,sadness,,
2018-Ar-00451,1,2018-Ar-03090,0.999661386013031,الجمهور بصوت عالي اوووه يا رابح ابو صقر قال شوي وابكي 😍❤\n#حفلة_رابح_صقر_وتوبي_كيث,مثل ما دعينا برجوع طيبة أقول اللهم أرعبهم كما أرعبونا وأثاروا خوفنا اذا كان السبب فقط خلاف علئلي واثارة ضجة 👎 🏼 #المفقوده_طيبه_محمود_ال_جاسم4,"anger,fear",,
